note_id,day,datetime,lock,due,duration_sec,price_in,in0,in1,note0,note1,premium_ratio,q_old,q_new,new_x,new_y,price,invest_usd,side
15,1,2025-02-03 02:02:11+00:00,25,20148,2239069,2862.6976188716285,0.0,169.36,0.06229391110736237,178.3812805412377,0.053266890300175083,0.9202869119053503,4.085179722327666,100.21390769105605,286882.11492500734,2862.6976188716285,169.36,Single
16,1,2025-02-03 09:44:53+00:00,13,20136,1174507,2862.6976188716285,0.0,161.98,0.05874972970804406,168.23018783776655,0.038586170130673954,0.0,3.026999617986803,100.24219918767312,286963.1049250073,2862.6976188716285,161.98,Single
17,1,2025-02-03 11:27:25+00:00,29,20152,2550755,2862.6976188716285,0.0472,0.0,0.0498841118094368,142.76951787657225,0.05686677562366097,0.0,2.525100239658059,100.26579918767314,287030.6645888127,2862.6976188716285,135.11932761074087,Single
18,1,2025-02-03 23:24:19+00:00,30,20153,2594141,2862.6976188716285,0.0,82.15,0.030337995308990534,86.86093478507566,0.057345523859715704,0.759732479469676,2.2950166008195083,100.28014754208166,287071.7395888127,2862.6976188716285,82.15,Single
19,1,2025-02-03 08:58:45+00:00,5,20128,486075,2862.6976188716285,0.008,22.9,0.01639661055400097,46.93853799051415,0.024823532636307377,0.9858588069328107,1.8418961898041744,100.28814726595208,287094.64037928823,2862.6976188716285,45.801580950973026,Dual
20,2,2025-02-04 21:14:44+00:00,14,20138,1219516,2877.8138239498767,0.0376,108.21,0.07836435135195356,224.3334426127525,0.03931486293220207,0.0,4.034215968051285,100.06235774642272,287960.83637967333,2877.8138239498767,216.41579978051536,Dual
21,2,2025-02-04 18:33:04+00:00,5,20129,451616,2877.8138239498767,0.0187,53.82,0.03829669253555006,110.21075119033443,0.023929296666158187,0.0,2.0064236861344398,100.08105859454781,288014.6539389272,2877.8138239498767,107.6351185078627,Dual
22,2,2025-02-04 03:59:31+00:00,2,20126,244829,2877.8138239498767,0.0055,15.83,0.01119443534742587,32.215500794017025,0.017610878273899056,3.119919384129389,3.710054962979484,100.08655894619812,288030.4829269431,2877.8138239498767,31.65797603172432,Dual
23,2,2025-02-04 21:42:52+00:00,14,20138,1217828,2877.8138239498767,0.0,159.46,0.057569691003934144,165.72071005704464,0.039261946927408975,4.034215968051285,7.006294743350736,100.11426400457836,288110.21292694315,2877.8138239498767,159.46,Single
24,2,2025-02-04 19:15:52+00:00,15,20139,1313048,2877.8138239498767,0.0302,0.0,0.03143227659049257,90.44259935903858,0.040803860612336686,0.0,1.6199646663044405,100.12936400457835,288153.6679156848,2877.8138239498767,86.90997748328628,Single
25,2,2025-02-04 00:25:04+00:00,28,20152,2504096,2877.8138239498767,0.0486,139.86,0.1026720626716862,295.4710812898993,0.056303556452942875,2.525100239658059,7.739386768134864,100.17796370020774,288293.5287916067,2877.8138239498767,279.721751843964,Dual
26,2,2025-02-04 23:20:12+00:00,9,20133,779988,2877.8138239498767,0.0,109.71,0.03931407590559628,113.16011751830462,0.031447612052726476,0.0,2.044906974069818,100.19702504446269,288348.38379160676,2877.8138239498767,109.71,Single
27,2,2025-02-04 05:45:30+00:00,14,20138,1275270,2877.8138239498767,0.0065,18.71,0.013523646759337685,38.91853759420908,0.04016346425751016,7.006294743350736,7.703761592856608,100.2035257759458,288367.0916865346,2877.8138239498767,37.4157898556742,Dual
28,2,2025-02-04 09:35:22+00:00,24,20148,2125478,2877.8138239498767,0.0012,3.45,0.002523283068002316,7.261538894798723,0.051882191488737545,4.085179722327666,4.213865401257863,100.20472518928716,288370.54337482894,2877.8138239498767,6.903376588739851,Dual
29,2,2025-02-04 10:51:57+00:00,21,20145,1861683,2877.8138239498767,0.0,25.75,0.00938213055286173,27.00123047110946,0.04859147460619251,0.0,0.4799944230289839,100.20919907147258,288383.418374829,2877.8138239498767,25.75,Single
30,2,2025-02-04 19:18:34+00:00,18,20142,1572086,2877.8138239498767,0.0384,0.0,0.040113996858992085,115.4185016637697,0.044635334869585507,1.2627018650528044,3.3224825072702515,100.22839907147261,288438.67240024876,2877.8138239498767,110.50805083967525,Single
31,2,2025-02-04 13:12:56+00:00,4,20128,384424,2877.8138239498767,0.0,100.28,0.035608762420696174,102.49320152155714,0.022070218603481545,1.8418961898041744,3.711050840884127,100.2458220192612,288488.81240024883,2877.8138239498767,100.28,Single
32,2,2025-02-04 20:39:24+00:00,8,20132,703236,2877.8138239498767,0.0127,36.55,0.026159045867020333,75.28086381739338,0.029858836350627062,0.6045802192547853,1.967202691212151,100.25852232581957,288525.36151803087,2877.8138239498767,73.09823556416343,Dual
33,2,2025-02-04 19:23:42+00:00,3,20127,275778,2877.8138239498767,0.0248,0.0,0.025263771649202283,72.6954405841023,0.018700469725898457,0.0,1.3303201636044832,100.27092232581957,288561.04640944785,2877.8138239498767,71.36978283395693,Single
34,2,2025-02-04 06:00:43+00:00,18,20142,1619957,2877.8138239498767,0.0243,0.0,0.02540068295686627,73.08958042932444,0.04529559493276837,3.3224825072702515,4.625983334477496,100.28307232581957,288596.01184740884,2877.8138239498767,69.930875921982,Single
35,2,2025-02-04 15:24:21+00:00,20,20144,1758939,2877.8138239498767,0.0269,77.41,0.05633932711008146,162.13409438942492,0.047220977924192054,0.0,2.8860554401362606,100.30997177125549,288673.423443341,2877.8138239498767,154.82319186425167,Dual
36,2,2025-02-04 07:19:25+00:00,23,20147,2047235,2877.8138239498767,0.0,152.28,0.05559368797657808,160.03047923287158,0.05089623872387431,5.0509689896953205,7.889242591027141,100.33642935491376,288749.56344334094,2877.8138239498767,152.28,Single
37,2,2025-02-04 23:39:40+00:00,22,20146,1902020,2877.8138239498767,0.0206,59.28,0.0432209482727495,124.38184242344205,0.0490783750330158,3.135400453382317,5.345529862048352,100.35702883980514,288808.8449257277,2877.8138239498767,118.56296477336747,Dual
38,2,2025-02-04 16:26:17+00:00,17,20141,1496023,2877.8138239498767,0.0225,64.75,0.046958960512585926,135.13914572149108,0.043538991279919524,1.472867661015698,3.8868892019781924,100.3795286988928,288873.59533124714,2877.8138239498767,129.50081103887223,Dual
39,2,2025-02-04 21:25:10+00:00,1,20125,95690,2877.8138239498767,0.0041,0.0,0.004145168420084865,11.928779367702063,0.011016687825576587,0.0,0.2199433164387301,100.3815786988928,288879.4948495862,2877.8138239498767,11.799036678194495,Single
40,2,2025-02-04 22:58:39+00:00,23,20147,1990881,2877.8138239498767,0.0,6.4,0.0023354736264298136,6.721132738462032,0.05017699038469251,7.889242591027141,8.008544178164811,100.38269065407675,288882.69484958623,2877.8138239498767,6.4,Single
41,2,2025-02-04 12:01:49+00:00,28,20152,2462291,2877.8138239498767,0.0454,0.0,0.04793294528252585,137.91090789073928,0.05579174631114197,7.739386768134864,10.174606218724875,100.40539065407677,288948.02122338983,2877.8138239498767,130.65274760732441,Single
42,2,2025-02-04 07:48:00+00:00,16,20140,1440720,2877.8138239498767,0.0,59.3,0.02148448721552816,61.83469857744067,0.04274365223340077,0.0,1.1053531814905,100.4156936138281,288977.67122338986,2877.8138239498767,59.3,Single
43,2,2025-02-04 17:12:33+00:00,19,20143,1666047,2877.8138239498767,0.0,177.06,0.06433360791678235,185.1968606316062,0.04595538592345068,0.0,3.300065832303517,100.44645654896422,289066.2012233898,2877.8138239498767,177.06,Single
44,2,2025-02-04 03:26:03+00:00,7,20131,678837,2877.8138239498767,0.0,162.46,0.058092289626138084,167.22576947921831,0.02933503311103221,0.0,3.0279876140484703,100.47468283633694,289147.43122338987,2877.8138239498767,162.46,Single
45,2,2025-02-04 17:00:13+00:00,14,20138,1234787,2877.8138239498767,0.0,74.09,0.02675908513331997,77.01753086732703,0.039513171377068716,7.703761592856608,9.084783060883638,100.48755545502121,289184.47622338985,2877.8138239498767,74.09,Single
46,2,2025-02-04 02:12:24+00:00,4,20128,424056,2877.8138239498767,0.0,196.91,0.06998487670346726,201.4720091074767,0.023167990998307395,3.711050840884127,7.381020843333317,100.52176718865758,289282.9312233898,2877.8138239498767,196.91,Single
47,2,2025-02-04 03:58:42+00:00,26,20150,2318478,2877.8138239498767,0.0367,105.62,0.07737954134755999,222.6839137810401,0.05419606057391462,1.241225173294879,5.178866092197495,100.55846792405276,289388.54910705937,2877.8138239498767,211.2357673389605,Dual
48,2,2025-02-04 15:21:36+00:00,5,20129,463104,2877.8138239498767,0.0273,0.0,0.02796131194862761,80.45652910799264,0.024223880902110313,2.0064236861344398,3.470839874984449,100.57211792405279,289427.8312657562,2877.8138239498767,78.56431739383164,Single
49,2,2025-02-04 02:44:40+00:00,30,20154,2668520,2877.8138239498767,0.0132,0.0,0.0139679043326572,40.19439048457248,0.05817457065584851,0.0,0.7080941867061483,100.57871792405277,289446.82483699435,2877.8138239498767,37.987142476138374,Single
50,2,2025-02-04 20:02:12+00:00,28,20152,2433468,2877.8138239498767,0.0406,116.84,0.08570112326877649,246.6318772707494,0.05542912562094498,10.174606218724875,14.530615401476098,100.61931805587989,289563.66445762047,2877.8138239498767,233.679241252365,Dual
51,2,2025-02-04 00:32:14+00:00,27,20151,2417266,2877.8138239498767,0.05,0.0,0.052767740362025264,151.81801412363717,0.05535480724050523,0.30496950015549373,2.9868993187592423,100.64431805587986,289635.60980321927,2877.8138239498767,143.89069119749385,Single
52,2,2025-02-04 14:47:49+00:00,6,20130,551531,2877.8138239498767,0.0,170.5,0.060794964239053964,175.00808063518411,0.02644035563157847,0.19007690764556173,3.367895752264303,100.67394123695243,289720.85980321927,2877.8138239498767,170.5,Single
53,2,2025-02-04 14:36:05+00:00,28,20152,2453035,2877.8138239498767,0.0246,70.79,0.051934722416295806,149.45846211247135,0.05561525175335136,14.530615401476098,17.169883483005833,100.69854050374495,289791.6519132539,2877.8138239498767,141.58422006916697,Dual
54,2,2025-02-04 09:39:20+00:00,13,20137,1174840,2877.8138239498767,0.0011,0.0,0.0011424572184296111,3.287761219356312,0.038597471299646476,0.6752530028697947,0.7342626267309242,100.69909050374497,289793.234710857,2877.8138239498767,3.1655952063448645,Single
55,2,2025-02-04 20:14:05+00:00,23,20147,2000755,2877.8138239498767,0.015,43.17,0.03150981380818612,90.67937776729,0.05029315333277051,8.008544178164811,9.617954008726883,100.71409098894674,289836.4033145366,2877.8138239498767,86.33720735924814,Dual
56,2,2025-02-04 07:55:34+00:00,10,20134,921866,2877.8138239498767,0.0086,24.75,0.01778838845318326,51.19167019632728,0.034191892968960656,0.0,0.9227133900749322,100.72269112813468,289861.1529139796,2877.8138239498767,49.49919888596894,Dual
57,2,2025-02-04 11:25:04+00:00,24,20148,2118896,2877.8138239498767,0.0,110.73,0.040462172306239906,116.4648388950669,0.05179119385050935,4.213865401257863,6.277783608957179,100.74192969024709,289916.5179139796,2877.8138239498767,110.73,Single
58,2,2025-02-04 19:20:15+00:00,30,20154,2608785,2877.8138239498767,0.0244,0.0,0.025803217791708903,74.24786560685865,0.05750892588970905,0.7080941867061483,2.01695926078537,100.75412969024708,289951.6272426318,2877.8138239498767,70.21865730437699,Single
59,2,2025-02-04 06:45:56+00:00,28,20152,2481244,2877.8138239498767,0.0259,0.0,0.027348149979881366,78.69276995878865,0.055913126636346094,17.169883483005833,18.55920641411103,100.76707969024709,289988.89493165194,2877.8138239498767,74.53537804030181,Single
60,2,2025-02-04 14:42:03+00:00,8,20132,724677,2877.8138239498767,0.0,136.67,0.04891833664898241,140.81103737433395,0.030299534457700762,1.967202691212151,4.514564809514923,100.79082514571445,290057.22993165196,2877.8138239498767,136.67,Single
