day,price,reserve_eth,reserve_usdc,k
1,3348.967247123586,10.095480181322957,33809.43247123586,584.2280851304039
2,3448.140436960939,10.416609692314932,35917.93309611036,611.672371467653
3,3604.2913795931763,10.68941706168282,38527.7737682996,641.7471793997365
4,3660.37804173532,11.969447031303133,43812.701085096,724.1642113059536
5,3635.8549961807084,12.2660465691475,44597.56670182017,739.6187058445643
6,3687.1447140588307,13.865836745561996,51125.346662401615,841.9594469932169
7,3380.0211263090155,15.08912585872946,51001.56418004124,877.2508312362608
8,3325.1300293537356,15.893019975851795,52846.35797882358,916.4541576142574
9,3219.09284475812,17.197581991767,55360.61313683825,975.7400696575236
10,3269.1759954060667,18.252826398380858,59671.70190990088,1043.6365343630666
11,3283.591322828503,19.093719327043143,62695.97110280175,1094.1203202451293
12,3264.070968533687,18.938627481851604,61817.02414738606,1082.0025842686189
13,3134.5520394596483,20.602470630930156,64579.516334089625,1153.4719713251623
14,3224.8006483414138,21.975204199634618,70865.65275041667,1247.9131339683884
15,3447.0340476747956,21.538116259528742,74242.62006937369,1264.5339783755092
16,3309.4466139900196,22.408107007132603,74158.43386068103,1289.0888725885063
17,3477.284285084809,22.50049451549918,78240.61598538225,1326.8204667054133
18,3309.0995676199964,23.167492446976574,76663.5392391297,1332.704755855936
19,3208.1365439891497,25.50915431941019,81836.8501783585,1444.8490717767716
20,3263.069869880814,25.708896477907725,83889.92548494569,1468.5766612035825
21,3326.0285404709143,26.824818128056563,89220.11068685769,1547.0336914689458
22,3237.2996671291435,27.367637920719336,88597.24513085565,1557.143964286691
23,3332.580893146162,27.287942047524187,90939.27428085887,1575.2922415920111
24,3311.8499838687,28.969991289895752,95944.26518611763,1667.1846108806535
25,3320.1314101789453,28.78923974263932,95584.05914470884,1658.8527343593942
26,3232.2767744705584,28.241354575101226,91283.87447268752,1605.609001585442
27,3173.5346079397173,28.58014274437785,90700.0720991403,1610.0375795362022
28,3076.4937692857234,29.36060885983056,90327.73021970392,1628.5199280871645
29,3114.4358854363104,29.157481941573103,90809.10808779647,1627.1954182581408
30,3248.249484352305,30.114742514039712,97820.19684263192,1716.342052327723
31,3296.390634843652,31.241441871276642,102983.99640348867,1793.7024662165556
32,3125.0386801320924,32.44613622706478,101395.4307304126,1813.805380486252
33,2862.6976188716285,33.06635619869181,94658.97915475616,1769.1883794937469
34,2877.8138239498767,33.98822445309082,97811.78218261602,1823.3071071488705
35,2740.3809762760143,36.45228471429966,99893.14757286372,1908.2278313486522
36,2790.5521609256075,37.54545300772661,104772.54502364233,1983.3639771068454
37,2686.662316793651,39.41851708546078,105904.24443739417,2043.180919247788
38,2623.4507017824767,38.48551998295078,100964.86440773573,1971.2141706927305
39,2635.6011418023404,37.49858797670506,98831.32128737938,1925.1064895607203
40,2632.5358220552475,37.64684174359925,99106.65947726987,1931.5933125473282
41,2660.2967996436387,37.0002503200509,98431.64751244495,1908.4013197898075
42,2603.0333698049267,37.98855688289931,98885.48123691953,1938.173554886556
43,2736.2703136032396,35.67172076492972,97607.47056422142,1865.9652822434837
44,2675.7090007037627,36.774000162137526,98396.523225713,1902.2181160571831
45,2724.6698335873957,37.43966634188452,102010.72946131011,1954.2895574411943
46,2692.8213863864253,38.31933926072089,103187.1362734662,1988.4825576819098
47,2659.9017474093457,39.57842070160195,105274.71038389322,2041.2267823083816
48,2741.9050800956124,38.146607209466076,104594.37609604695,1997.4785558936724
49,2669.4945006896073,36.346039131759625,97025.55158408156,1877.8962949682793
50,2714.8018364720533,37.06917539119188,100635.46542851235,1931.4434287712781
51,2741.5933625994785,35.078457733723965,96170.86689300396,1836.716006769101
52,2658.3470942919384,35.78747018740048,95135.51738473545,1845.171941085475
53,2764.355233404291,34.79029700109071,96172.7395866547,1829.1741780454563
54,2827.1844084879804,33.565819207459896,94896.76072145699,1784.737379490329
55,2503.103420098605,33.55238762226733,83985.09620977147,1678.660329704514
56,2495.315451693047,33.57172711662719,83772.04941414227,1677.012934634731
57,2325.853934699374,33.86186009764272,78757.74054434204,1633.0595800273038
58,2305.3229378029837,33.51899763027248,77272.114089231,1609.3737319352142
59,2235.204208608959,33.68252800143349,75287.32834539325,1592.4407509062387
60,2212.8243514969954,34.98526544991258,77416.24733115306,1645.7302218214493
61,2517.3382391622977,33.2010505839429,83578.27421532117,1665.7990604936506
62,2148.199533470228,36.056710670169025,77457.00904012809,1671.1807096590617
63,2171.496943535016,36.337887671352036,78907.6120128597,1693.3209801268997
64,2241.3841149187283,35.64119088089467,79885.59907722357,1687.370109177577
65,2202.3207363495417,34.844136588646876,76737.9645493728,1635.1966604335662
66,2140.7498089428914,35.119920680662844,75182.9634872185,1624.9368339133323
67,2199.9995000805707,34.2875649097667,75432.62566046685,1608.229165463489
68,2017.265460184326,37.1291072129663,74899.26554819763,1667.615921221509
69,1879.1231054991026,39.445305525629685,74122.58501668216,1709.9087731023808
70,1921.3099227587034,39.48236082435387,75857.85162577059,1730.6204289933057
71,1910.6551381032464,38.00862036177419,72621.36578643954,1661.3963772472594
72,1862.7949366490388,37.44757868019208,69757.1599552283,1616.2415462826575
73,1910.6662703455045,38.55426998723047,73664.34324239526,1685.2522000577017
74,1939.7856881721348,38.52322979671099,74726.80982182632,1696.6785396006326
75,1887.7643429692785,37.87823141347422,71505.17463709545,1645.748933514705
76,1929.1833577618722,36.93719235538339,71258.61677445467,1622.372717588835
77,1932.7964059050657,38.02929585794129,73502.88635332933,1671.9040078734774
78,2060.728601068271,38.36524026283139,79060.34789647264,1741.5996217016152
79,1980.831780524645,39.799793319792826,78836.6954661581,1771.3509492950684
80,1964.5293833168294,39.84982193580051,78286.14611282364,1766.26413161681
81,1979.5449257665966,39.23298397085822,77663.45434219463,1745.5569481769426
82,2001.0470230951883,40.063693699548054,80169.33501167806,1792.171778040354
83,2077.739325831977,38.79386498985571,80603.53889043955,1768.3107208350846
84,2068.598435049149,40.112964842320345,82977.6162980054,1824.411742250482
85,2009.8835432902426,40.55906128561658,81518.98980926114,1818.3326713270528
86,2003.3034241292064,40.572429845651676,81278.88763503601,1815.9520826566718
87,1896.9173600459985,42.84447913014669,81272.43624410375,1866.0319393077602
88,1829.2745211803463,43.20035281843541,79025.30471676546,1847.679908790653
89,1805.3378779435934,43.34940287154006,78260.31899022803,1841.8843874582985
90,1824.2071367609847,42.18370515049625,76951.81599055638,1801.697176703364
91,1907.1671522994227,39.79784451001232,75901.14178181542,1738.016639380961
92,1795.761850567479,40.06989927672694,71955.99647722769,1698.0192964742869
93,1818.2844199542053,37.49276315106482,68172.50709861431,1598.741899764509
94,1814.4807753449506,36.50841047726373,66243.80894939721,1555.1386332742268
95,1809.935827172196,35.14409969374635,63608.56514942291,1495.1474024280944
96,1574.6321611455576,36.41842132979077,57345.61748403791,1445.1425047208004
97,1555.909812570873,35.39479894776731,55071.114996804376,1396.148646506261
98,1471.3608854365523,35.14702224719217,51713.95377408688,1348.1808053032423
99,1662.5331604641576,32.590380263290434,54182.587899856946,1328.8457936515797
100,1523.928624242526,33.69533225384481,51349.28132499654,1315.382490092485
101,1568.131690125936,32.487242142689404,50944.273928746086,1286.483176301452
102,1645.8625733156498,31.34769248316015,51593.99381784161,1271.7518044727772
103,1595.4227460001084,31.318108132259937,49965.622075898485,1250.931155207441
104,1621.543195596693,29.03566486664713,47082.58479413762,1169.2194632052942
105,1587.8222244021401,28.627770345204226,45455.8099891958,1140.744708173541
106,1577.7073516760117,27.828478122664126,43905.19452008225,1105.3572929932755
107,1583.4764497002345,26.6024291342741,42124.320038942446,1058.5883235070414
108,1589.1516208270755,25.414168397704415,40386.96690118422,1013.1145926790366
109,1615.0502549158562,25.098826644113977,40535.866369665164,1008.6638106332534
110,1585.4600253443446,24.172447081676392,38324.44856274947,962.4945219675229
111,1577.4465595922347,24.172447081676392,38324.44856274947,962.4945219675229
112,1759.7064599311093,22.628952099764643,39820.31319142748,949.2586369406594
113,1793.969849485534,21.749305244471167,39017.597855838874,921.1979405495126
114,1769.3925107354407,21.74894744402085,38482.4247238292,914.8509347631722
115,1788.7981804331257,21.74894744402085,38482.4247238292,914.8509347631722
116,1821.2695303291391,21.29445954012718,38782.950325260295,908.7694793224614
117,1793.6918440730135,20.85501391129011,37407.46836071031,883.2515344163055
118,1799.50191449199,20.549710938981015,36979.244176953325,871.7297623566535
119,1796.9720456768928,20.271723037370368,36427.71961585882,859.3326730292953
120,1794.0495408617828,19.709190722624985,35359.26456668267,834.8068573966702
