note_id,day,datetime,lock,due,duration_sec,price_in,in0,in1,note0,note1,premium_ratio,q_old,q_new,new_x,new_y,price,invest_usd,side
0,1,2025-01-02 03:43:54+00:00,5,20096,504966,3348.967247123586,0.0,527.54,0.16021938402942923,540.7873196911002,0.025111498068583014,0.0,9.080289060147152,10.078761594406917,33753.44247123586,3348.967247123586,527.54,Single
1,1,2025-01-02 07:57:37+00:00,3,20094,316943,3348.967247123586,0.0,111.98,0.034050017636395286,114.2214717395021,0.02001671494465184,0.0,1.9334157756711647,10.095480181322957,33809.43247123586,3348.967247123586,111.98,Single
2,2,2025-01-03 19:50:26+00:00,23,20115,2002174,3448.140436960939,0.0,1446.24,0.4437162671100067,1517.6073940915585,0.04934685397413875,0.0,24.729385656753493,10.160013374737588,35033.15295749665,3448.140436960939,1446.24,Single
3,2,2025-01-03 10:07:43+00:00,19,20111,1691537,3448.140436960939,0.118,406.88,0.2468024840139539,851.0096250709132,0.04577397186749703,0.0,13.858115311978509,10.278013291857931,35440.03324327734,3448.140436960939,813.7605715613909,Dual
4,2,2025-01-03 12:23:17+00:00,14,20106,1251403,3448.140436960939,0.0,361.34,0.10839384812945665,375.66017436167425,0.03963074766611566,0.0,6.137913724888904,10.33040964963483,35620.70324327734,3448.140436960939,361.34,Single
5,2,2025-01-03 12:15:18+00:00,25,20117,2202282,3448.140436960939,0.0862,297.23,0.18143303082586998,625.6065701910627,0.052395249380498825,0.0,10.123482799907606,10.416609692314932,35917.93309611036,3448.140436960939,594.459705666033,Dual
6,3,2025-01-04 21:58:51+00:00,12,20105,1044069,3604.2913795931763,0.1859,0.0,0.19260230596609387,658.2589785368433,0.03605328653089759,0.0,10.86793530038517,10.283917083105203,37066.23369108709,3604.2913795931763,670.0377674663715,Single
7,3,2025-01-04 16:43:37+00:00,24,20117,2099783,3604.2913795931763,0.4055,1461.54,0.8505218017712234,3065.5283982801025,0.04873224007880937,10.123482799907606,58.812474163459456,10.68941706168282,38527.7737682996,3604.2913795931763,2923.080154425033,Dual
8,4,2025-01-05 10:40:27+00:00,18,20112,1603173,3660.37804173532,0.0,788.14,0.22611116039028373,823.2850927874862,0.0445924490413964,0.0,13.061385363518411,10.715180285401033,39221.61062991714,3660.37804173532,788.14,Single
9,4,2025-01-05 02:31:56+00:00,23,20117,2064484,3660.37804173532,0.2929,1072.12,0.6122803313708428,2241.177480335979,0.04520601152799177,58.812474163459456,94.25391589494029,11.008079639508146,40293.73299412928,3660.37804173532,2144.2447284242753,Dual
