note_id,day,datetime,lock,due,duration_sec,price_in,in0,in1,note0,note1,premium_ratio,q_old,q_new,new_x,new_y,price,invest_usd,side
0,1,2025-02-03 03:43:54+00:00,5,20128,504966,2862.6976188716285,0.0,527.54,0.18876632359615442,540.8786994253987,0.025284716657312675,0.0,9.855251563511047,100.09214036378177,286533.5318871628,2862.6976188716285,527.54,Single
1,1,2025-02-03 07:57:37+00:00,3,20126,316943,2862.6976188716285,0.0,111.98,0.03989330191416854,114.2247750068393,0.020046213670649158,0.0,2.0927160223982355,100.11169883884769,286589.5218871628,2862.6976188716285,111.98,Single
2,2,2025-02-04 19:50:26+00:00,23,20147,2002174,2877.8138239498767,0.0,1446.24,0.529262268058876,1518.9383602433686,0.05026714808286907,0.0,26.99639417931394,100.10004607489512,288069.29637235275,2877.8138239498767,1446.24,Single
3,2,2025-02-04 10:07:43+00:00,19,20143,1691537,2877.8138239498767,0.118,339.58,0.24691784087484242,710.5835758496697,0.046265166747715504,0.0,12.660243283660748,100.21804572198381,288408.8773879658,2877.8138239498767,679.1620312260854,Dual
4,2,2025-02-04 12:23:17+00:00,14,20138,1251403,2877.8138239498767,0.0,361.34,0.1304781232268647,375.72693186429495,0.039815497493482524,0.0,6.733621917823257,100.28082601669794,288589.54738796584,2877.8138239498767,361.34,Single
5,2,2025-02-04 12:15:18+00:00,25,20149,2202282,2877.8138239498767,0.0862,248.07,0.18150475081990528,522.3368810219048,0.052806584205614286,0.0,9.248488309021923,100.36702644208606,288837.61616377806,2877.8138239498767,496.13755162447933,Dual
6,3,2025-02-05 21:58:51+00:00,12,20137,1044069,2740.3809762760143,0.1859,0.0,0.19265875092995702,553.9231466306684,0.03635691732090897,0.0,9.968040096318873,102.97672983803876,282195.47144727607,2740.3809762760143,509.43682348971106,Single
7,3,2025-02-05 16:43:37+00:00,24,20149,2099783,2740.3809762760143,0.4055,1111.22,0.8526152336860334,2336.4905664763787,0.051315603751180584,9.248488309021923,51.703156368110285,103.38222901956135,283306.693690216,2740.3809762760143,2222.444485879924,Dual
8,4,2025-02-06 10:40:27+00:00,18,20144,1603173,2790.5521609256075,0.0,788.14,0.3001358971121019,823.630356563153,0.045030523210537375,0.0,15.045137726790927,102.59409307943831,286294.1681410295,2790.5521609256075,788.14,Single
9,4,2025-02-06 02:31:56+00:00,23,20149,2064484,2790.5521609256075,0.2929,817.35,0.6154039192724026,1717.316736767699,0.05053763440949,51.703156368110285,82.64838637214598,102.88699259065778,287111.519504997,2790.5521609256075,1634.7027279351105,Dual
10,4,2025-02-06 08:28:32+00:00,3,20129,315088,2790.5521609256075,0.0,1557.48,0.5677144354547687,1588.5308051261045,0.01993656748472179,0.0,29.443513048958266,103.16605564165685,287890.25950499706,2790.5521609256075,1557.48,Single
11,4,2025-02-06 13:16:59+00:00,27,20153,2371381,2790.5521609256075,0.2322,0.0,0.24492015806231632,682.6944083311096,0.054781042473369325,0.0,12.259228014718246,103.28215564165689,288214.24261088046,2790.5521609256075,647.966211766926,Single
12,4,2025-02-06 23:35:39+00:00,9,20135,779061,2790.5521609256075,0.1127,0.0,0.11624074700534957,324.1990112115661,0.031417453463616414,0.0,5.951830613741549,103.33850564165687,288371.4902251487,2790.5521609256075,314.49522853631595,Single
13,4,2025-02-06 08:54:47+00:00,24,20150,2127913,2790.5521609256075,0.0,383.72,0.14454961463789365,403.6415681148262,0.05191693973424927,0.0,7.26147694033898,103.40725905995399,288563.3502251486,2790.5521609256075,383.72,Single
14,4,2025-02-06 23:18:06+00:00,30,20156,2594514,2790.5521609256075,0.1423,0.0,0.15045745717967152,419.57074365602745,0.05732577076367902,0.0,7.514509537670165,103.47840905995396,288761.89801139856,2790.5521609256075,397.09557249971397,Single
15,4,2025-02-06 02:02:11+00:00,25,20151,2239069,2790.5521609256075,0.0,1693.56,0.6372691775119368,1783.5439417931345,0.053133010813395866,0.0,32.01254025447088,103.78185438230162,289608.67801139853,2790.5521609256075,1693.56,Single
16,4,2025-02-06 09:44:53+00:00,13,20139,1174507,2790.5521609256075,0.0,1619.84,0.6011336689670126,1682.1828724408322,0.03848705578380115,0.0,30.621117945747756,104.07209084924203,290418.5980113986,2790.5521609256075,1619.84,Single
17,5,2025-02-07 11:27:25+00:00,23,20150,2032355,2686.662316793651,0.0,1156.0,0.45113017714584774,1214.4916474326626,0.050598310927908896,7.26147694033898,29.54128819937614,106.27944928646176,285536.9914475186,2686.662316793651,1156.0,Single
18,5,2025-02-07 23:24:19+00:00,30,20157,2594141,2686.662316793651,0.0,821.48,0.3228112867982413,868.5320459520537,0.057277165545179226,0.0,15.837200917214432,106.43233042728563,285947.7314475186,2686.662316793651,821.48,Single
19,6,2025-02-08 19:37:24+00:00,18,20146,1570956,2623.4507017824767,0.1308,0.0,0.1366350088518008,366.8667336312782,0.044610159417437206,0.0,6.7776777460712765,107.77996521278027,282755.42537555937,2623.4507017824767,343.14735179314795,Single
20,6,2025-02-08 21:14:44+00:00,14,20142,1219516,2623.4507017824767,0.376,986.42,0.7814709769332039,2050.1505828579984,0.03918879299672171,0.0,38.517212775621374,108.1559656961379,283741.84410749446,2623.4507017824767,1972.8374638702112,Dual
