day,price,reserve_eth,reserve_usdc,k
1,2517.3382391622977,1000.1270230575396,2517657.9991622977,50179.455953399796
2,2148.199533470228,1086.6810166158411,2334407.6529251034,50366.2236173852
3,2171.496943535016,1081.35011112453,2348148.4611981665,50390.183562411556
4,2241.3841149187283,1066.376159014509,2390158.5833431683,50485.722036443614
5,2202.3207363495417,1076.2597799543462,2370269.2310924516,50507.67705100007
6,2140.7498089428914,1093.685909003156,2341307.900742038,50602.91947782585
7,2199.9995000805707,1079.6244131741887,2375173.1692579947,50638.86786893286
8,2017.265460184326,1129.326815268532,2278151.977701175,50722.56024369212
9,1879.1231054991026,1172.1493079426896,2202612.8476498905,50811.32870766613
10,1921.3099227587034,1160.758429193423,2230176.687935129,50879.23337778755
11,1910.6551381032464,1164.8758471858341,2225676.0226779864,50917.93635329516
12,1862.7949366490388,1179.5450202696381,2197250.49130787,50909.29065806372
13,1910.6662703455045,1166.5009996309825,2228794.1143192314,50989.12199994263
14,1939.7856881721348,1159.5543284272844,2249286.890941297,51070.24916980267
15,1887.7643429692785,1175.580233507152,2219218.447114299,51077.092128096
16,1929.1833577618722,1163.2730826382788,2244167.071558118,51093.82689999576
17,1932.7964059050657,1162.9219913265956,2247691.445184006,51126.214521722
18,2060.728601068271,1126.7945022289814,2322017.6582697476,51151.116619453824
19,1980.831780524645,1151.5606562653998,2281047.9451323207,51251.97624159889
20,1964.5293833168294,1156.7597330572994,2272488.485028797,51271.07540629217
21,1979.5449257665966,1153.7304856556432,2283861.32858186,51331.865734598934
22,2001.0470230951883,1147.7285215167058,2296658.7413024455,51341.4135136877
23,2077.739325831977,1126.832465666755,2341264.127540028,51363.53209829961
24,2068.598435049149,1131.3041969241165,2340214.0913217613,51453.80474963213
25,2009.8835432902426,1147.623463435463,2306589.5130526884,51449.9392195311
26,2003.3034241292064,1148.4649339272169,2300723.734628716,51403.312460143534
27,1896.9173600459985,1180.712961116473,2239714.913173154,51424.31746935878
28,1829.2745211803463,1203.242466484143,2201060.7867416395,51462.70309574244
29,1805.3378779435934,1210.9477956351811,2186169.9236724903,51452.28517719242
30,1824.2071367609847,1206.4071099041478,2200736.4597263397,51526.537939581576
31,1907.1671522994227,1179.8517210099767,2250174.4468941703,51525.45190234394
32,1795.761850567479,1215.1572452285884,2182133.0234221704,51494.02638621315
33,1818.2844199542053,1205.4055647357281,2191770.1580850743,51400.116198092925
34,1814.4807753449506,1205.9622450262557,2188195.3093919777,51370.03920448447
35,1809.935827172196,1206.8880022116562,2184389.834587153,51345.047312436465
36,1574.6321611455576,1296.8270701179958,2042025.6120519612,51460.218534157546
37,1555.909812570873,1303.7007688252986,2028440.8188714734,51424.50636690019
38,1471.3608854365523,1339.24307989284,1970509.883845904,51371.11762265905
39,1662.5331604641576,1261.2359590738072,2096846.60513002,51425.8528276568
40,1523.928624242526,1317.470176310238,2007730.5132650188,51430.77943503005
41,1568.131690125936,1298.1023289136242,2035595.3989957354,51404.3882189276
42,1645.8625733156498,1266.5438204858488,2084557.0716018735,51382.70990797809
43,1595.4227460001084,1285.2875956355572,2050577.065228758,51337.91255819901
44,1621.543195596693,1273.3766878464185,2064835.3036088143,51276.828488682346
45,1587.8222244021401,1285.4068751623126,2040997.6037820275,51220.233815272884
46,1577.7073516760117,1289.0901564241158,2033807.0167635074,51203.130816153556
47,1583.4764497002345,1289.0901564241158,2033807.0167635074,51203.130816153556
48,1589.1516208270755,1283.1465535941402,2039114.4254028036,51151.56544368611
49,1615.0502549158562,1271.3341650764394,2053268.5673899404,51091.98058208731
50,1585.4600253443446,1271.3341650764394,2053268.5673899404,51091.98058208731
51,1577.4465595922347,1285.3843772670107,2027625.1636734535,51051.716017576946
52,1759.7064599311093,1218.411772815811,2144047.0674800975,51110.97913842941
53,1793.969849485534,1206.0492466478895,2163615.985481056,51082.555039120336
54,1769.3925107354407,1213.922974885984,2147906.220372947,51062.63515341955
55,1788.7981804331257,1213.922974885984,2147906.220372947,51062.63515341955
56,1821.2695303291391,1213.922974885984,2147906.220372947,51062.63515341955
57,1793.6918440730135,1205.5460935568765,2162378.1956670517,51057.28730141253
58,1799.50191449199,1203.3491560497312,2165429.1101138117,51046.71676161921
59,1796.9720456768928,1203.991198563915,2163538.527060372,51038.03821009017
60,1794.0495408617828,1204.8727865788744,2161601.469558686,51033.8592122932
