note_id,day,datetime,lock,due,duration_sec,price_in,in0,in1,note0,note1,premium_ratio,q_old,q_new,new_x,new_y,price,invest_usd,side
0,1,2025-01-02 03:43:54+00:00,5,20096,504966,3348.967247123586,0.0,527.54,0.16137956958656205,540.8804800407411,0.02528809197547319,0.0,9.112321146631075,100.0787615944069,335160.4947123586,3348.967247123586,527.54,Single
1,1,2025-01-02 07:57:37+00:00,3,20094,316943,3348.967247123586,0.0,111.98,0.03410178497806249,114.22483872603664,0.020046782693665173,0.0,1.934856417357878,100.09548018132294,335216.48471235856,3348.967247123586,111.98,Single
2,2,2025-01-03 19:50:26+00:00,23,20115,2002174,3448.140436960939,0.0,1446.24,0.45258639168983544,1518.9648636475797,0.050285473813184385,0.0,24.964176866371417,98.86575241748542,340902.99874130025,3448.140436960939,1446.24,Single
3,2,2025-01-03 10:07:43+00:00,19,20111,1691537,3448.140436960939,0.118,406.88,0.24691825080060173,851.4088052090991,0.04626450944359461,0.0,13.858115311977599,98.98375233460578,341309.8790270809,3448.140436960939,813.7605715613909,Dual
4,2,2025-01-03 12:23:17+00:00,14,20106,1251403,3448.140436960939,0.0,361.34,0.10890785509062467,375.7283367073464,0.03981938536377485,0.0,6.1518915054221,99.03614869238268,341490.54902708094,3448.140436960939,361.34,Single
5,2,2025-01-03 12:15:18+00:00,25,20117,2202282,3448.140436960939,0.0862,297.23,0.18150385050197984,625.8507663798491,0.05280603616126608,0.0,10.123482799908743,99.12234873506279,341787.77887991397,3448.140436960939,594.459705666033,Dual
6,3,2025-01-04 21:58:51+00:00,12,20105,1044069,3604.2913795931763,0.1859,0.0,0.19265867534522363,663.6919509021806,0.03635651073277904,0.0,10.911096082107179,97.06812935267943,349861.82185909786,3604.2913795931763,670.0377674663715,Single
7,3,2025-01-04 16:43:37+00:00,24,20117,2099783,3604.2913795931763,0.4055,1461.54,0.8526061754963942,3073.0410885295287,0.05130236811245576,10.123482799908743,58.81247416346014,97.47362933125706,351323.36193631036,3604.2913795931763,2923.080154425033,Dual
8,4,2025-01-05 10:40:27+00:00,18,20112,1603173,3660.37804173532,0.0,788.14,0.22826052489545354,823.6400038031713,0.04504276372620509,0.0,13.12049014549848,96.83451084913264,354450.9171943458,3660.37804173532,788.14,Single
9,4,2025-01-05 02:31:56+00:00,23,20117,2064484,3660.37804173532,0.2929,1072.12,0.615384030504456,2252.538192493184,0.05050424638254548,58.81247416346014,94.25391589494393,97.12741020323976,355523.0395585579,3660.37804173532,2144.2447284242753,Dual
10,4,2025-01-05 08:28:32+00:00,3,20097,315088,3660.37804173532,0.0,1557.48,0.4330364531374641,1588.5471905754587,0.019947087972531682,0.0,25.714888557618906,97.34015872022923,356301.7795585579,3660.37804173532,1557.48,Single
11,4,2025-01-05 13:16:59+00:00,27,20121,2371381,3660.37804173532,0.2322,0.0,0.2449193021334151,895.4295527668985,0.05477735630239057,0.0,14.039977785034353,97.45625872022923,356726.7494492034,3660.37804173532,849.9397812909413,Single
12,4,2025-01-05 23:35:39+00:00,9,20103,779061,3660.37804173532,0.1127,0.0,0.11624063117861066,425.2388129111736,0.03141642571970425,0.0,6.8164991494923015,97.51260872022922,356933.0117518552,3660.37804173532,412.5246053035705,Single
