day,price,reserve_eth,reserve_usdc,k
1,3296.390634843652,10.097003066511613,33283.66634843653,579.7113774844453
2,3125.0386801320924,10.86723099061124,33960.51719159032,607.5004402316398
3,2862.6976188716285,11.863623387285122,33961.96642197089,634.7534790151889
4,2877.8138239498767,13.418849011242287,38616.94918604919,719.8576320373423
5,2740.3809762760143,14.098841118813946,38636.19598953577,738.0552748214875
6,2790.5521609256075,15.77447864408474,44019.50546772551,833.2975152511901
7,2686.662316793651,16.719534581168286,44919.74351355315,866.6240275067739
8,2623.4507017824767,17.65274199129357,46311.09836544411,904.1669485103967
9,2635.6011418023404,18.73833267204138,49386.77098590437,961.9905115601698
10,2632.5358220552475,20.036454210681825,52746.683456589606,1028.0352658558393
11,2660.2967996436387,20.812865234060176,55368.398773584624,1073.487317996966
12,2603.0333698049267,20.79114479237385,54120.04369099506,1060.7627748696111
13,2736.2703136032396,21.66206217775425,59273.257668416496,1133.1288510541451
14,2675.7090007037627,23.614038939442985,63184.29653323673,1221.4894345417665
15,2724.6698335873957,23.587272110343463,64267.528775670144,1231.2171575685015
16,2692.8213863864253,24.10394316364482,64907.61364730565,1250.8115086784549
17,2659.9017474093457,24.933089017329795,66319.56704550829,1285.904999887795
18,2741.9050800956124,24.60450798166022,67463.22542816718,1288.3708582996908
19,2669.4945006896073,26.931539923260917,71893.59772024764,1391.4759420233283
20,2714.8018364720533,27.127244351886695,73645.09278492814,1413.4314370687082
21,2741.5933625994785,28.335614511969535,77684.73267119315,1483.6592056251782
22,2658.3470942919384,28.96631568752912,77002.52114028604,1493.4789372753671
23,2764.355233404291,28.7025596434771,79344.07096254472,1509.098382862668
24,2827.1844084879804,30.098522535338446,85094.07363043299,1600.3767971291436
25,2503.103420098605,31.852953186462543,79731.23606127517,1593.6358836819006
26,2495.315451693047,30.959386555034598,77253.4356457158,1546.5183402922205
27,2325.853934699374,32.15497913544172,74787.7847423434,1550.7416477208442
28,2305.3229378029837,32.81041895489861,75638.61141565356,1575.352192277768
29,2235.204208608959,33.27965121995237,74386.81646787582,1573.3935640562142
30,2212.8243514969954,35.13586180573125,77749.49061455531,1652.8143748464358
31,2517.3382391622977,34.3238527328589,86404.74699980105,1722.1335056960895
32,2148.199533470228,37.65140869349025,80882.73858985264,1745.0928476431495
33,2171.496943535016,36.43130274188943,79110.46255301173,1697.6740592115077
34,2241.3841149187283,36.9670552343876,82857.3703776796,1750.140847854193
35,2202.3207363495417,39.097723055172764,86105.72622845853,1834.8127527202325
36,2140.7498089428914,41.21805549109969,88237.54441756914,1907.0867841295892
37,2199.9995000805707,41.729505094704265,91804.89034695902,1957.2870610751486
38,2017.265460184326,42.203866690268214,85136.40256050185,1895.5435590226962
39,1879.1231054991026,42.99619054483573,80795.13510124285,1863.835567830162
40,1921.3099227587034,42.64971524095082,81943.32109527191,1869.4542814979843
41,1910.6551381032464,42.25941507139696,80743.16853940237,1847.2030406770027
42,1862.7949366490388,43.55639785015103,81136.6373739324,1879.8988424068016
43,1910.6662703455045,41.583760315868204,79452.6882296613,1817.674762930277
44,1939.7856881721348,42.020377998574666,81510.52785321839,1850.7034314702032
45,1887.7643429692785,43.92768586092503,82925.11903741003,1908.5881114203667
46,1929.1833577618722,44.272589726434866,85409.9433052574,1944.5614874597622
47,1932.7964059050657,45.179157085500044,87322.11243667486,1986.2375071512045
48,2060.728601068271,43.077610503011606,88771.26402923497,1955.5188405411461
49,1980.831780524645,41.31435683194515,81836.79100465243,1838.7589253481624
50,1964.5293833168294,42.58102150001186,83651.66790841894,1887.3191223850404
51,1979.5449257665966,40.51023968570782,80191.83941143153,1802.384707934153
52,2001.0470230951883,40.428590580249086,80899.5108285416,1808.494733591872
53,2077.739325831977,39.4883396827144,82046.47627058713,1799.9664232264752
54,2068.598435049149,38.89588270150685,80459.96208619233,1769.0565981540062
55,2009.8835432902426,37.23287385485632,74833.74043027728,1669.213951992846
56,2003.3034241292064,37.25095156658269,74624.95882540634,1667.2884354134528
57,1896.9173600459985,37.23264137255298,70627.24377996262,1621.6161194287695
58,1829.2745211803463,37.22725567580861,68098.87030122313,1592.2104307965587
59,1805.3378779435934,37.182107930861704,67126.26782937153,1579.8405411393967
60,1824.2071367609847,38.05050087999228,69411.99526261204,1625.1649721865283
61,1907.1671522994227,35.35139875275742,67421.02648909773,1543.8353512393458
62,1795.761850567479,35.661604906853356,64039.74962173727,1511.211517076351
63,1818.2844199542053,34.90892478906053,63474.3540613019,1488.5635532150404
64,1814.4807753449506,33.05766923286661,59982.505300748715,1408.1483657593824
65,1809.935827172196,31.30033200104083,56651.5922910682,1331.6206843910318
66,1574.6321611455576,31.92664729611127,50272.725630007655,1266.9015667380902
67,1555.909812570873,30.570135500889872,47564.373797455744,1205.839687522018
68,1471.3608854365523,30.928716917791814,45507.30430957864,1186.3736901511113
69,1662.5331604641576,30.928716917791814,45507.30430957864,1186.3736901511113
70,1523.928624242526,29.397893921198175,44800.29203895925,1147.6211190981207
71,1568.131690125936,27.667231348994395,43385.86225640387,1095.612471781665
72,1645.8625733156498,26.174995846303723,43080.44602012389,1061.899475295875
73,1595.4227460001084,26.220443685630382,41832.69226626963,1047.3164525519633
74,1621.543195596693,25.697081948125142,41668.92837967293,1034.7801057533975
75,1587.8222244021401,24.933861116480962,39590.53882090483,993.5517080087423
76,1577.7073516760117,24.1275691019903,38066.24315028109,958.355837912814
77,1583.4764497002345,23.312663991277596,36915.05440996275,927.678963693363
78,1589.1516208270755,22.398275996516126,35594.25660359578,892.888561522744
79,1615.0502549158562,21.48335136865964,34696.69210440066,863.3662188254982
80,1585.4600253443446,20.782831284015884,32950.34821428306,827.5273576668139
81,1577.4465595922347,20.782831284015884,32950.34821428306,827.5273576668139
82,1759.7064599311093,18.760659564151606,33013.25382760592,786.988193154535
83,1793.969849485534,18.567773854359565,33310.02646678686,786.4432837261885
84,1769.3925107354407,18.57188550044212,32860.95511471841,781.2105323315336
85,1788.7981804331257,18.57188550044212,32860.95511471841,781.2105323315336
86,1821.2695303291391,17.708369853698233,32251.714446339665,755.7283161504835
87,1793.6918440730135,17.708369853698233,32251.714446339665,755.7283161504835
88,1799.50191449199,17.79515910386368,32022.422876092252,754.8801957736509
89,1796.9720456768928,17.757418578349306,31909.58478867721,752.7495292285935
90,1794.0495408617828,17.757418578349306,31909.58478867721,752.7495292285935
