note_id,day,datetime,lock,due,duration_sec,price_in,in0,in1,note0,note1,premium_ratio,q_old,q_new,new_x,new_y,price,invest_usd,side
0,1,2025-03-03 03:43:54+00:00,5,20156,504966,2517.3382391622977,0.0,527.54,0.21463584534760835,540.8770178092359,0.02528152900109174,0.0,10.508899951366402,100.10478131063061,251997.5939162298,2517.3382391622977,527.54,Single
1,1,2025-03-03 07:57:37+00:00,3,20154,316943,2517.3382391622977,0.0,111.98,0.04536511665295607,114.22471480776412,0.020045676082908553,0.0,2.231626130227596,100.1270230575397,252053.58391622978,2517.3382391622977,111.98,Single
2,2,2025-03-04 19:50:26+00:00,23,20175,2002174,2148.199533470228,0.0,1446.24,0.6016558524153279,1518.9133509537114,0.05024985545532658,0.0,28.783787651507737,109.06636949576769,234296.32406809967,2148.199533470228,1446.24,Single
3,2,2025-03-04 10:07:43+00:00,19,20171,1691537,2148.199533470228,0.118,253.49,0.24692078914207272,530.4351240391727,0.04626946365449584,0.0,10.938339910735522,109.18437006718818,234549.8128405744,2148.199533470228,506.97754494948686,Dual
4,2,2025-03-04 12:23:17+00:00,14,20166,1251403,2148.199533470228,0.0,361.34,0.17476760052064294,375.7248144037804,0.03980963747102581,0.0,7.793123572491822,109.26847305538135,234730.48284057438,2148.199533470228,361.34,Single
5,2,2025-03-04 12:15:18+00:00,25,20177,2202282,2148.199533470228,0.0862,185.17,0.18150212095484877,389.90277155909814,0.052810169834371874,0.0,7.990407749966835,109.35467193821671,234915.65524046696,2148.199533470228,370.34479978513366,Dual
6,3,2025-03-05 21:58:51+00:00,12,20165,1044069,2171.496943535016,0.1859,0.0,0.19265924518684047,413.5190895921165,0.03635957604540321,0.0,8.612559674505974,108.86100342092385,236391.33619869105,2171.496943535016,403.68128180315944,Single
7,3,2025-03-05 16:43:37+00:00,24,20177,2099783,2171.496943535016,0.4055,880.54,0.8526299199823536,1851.4832652082912,0.05133279089811411,7.990407749966835,45.782415899864645,109.26650295797053,237271.87720399277,2171.496943535016,1761.082010603449,Dual
8,4,2025-03-06 10:40:27+00:00,18,20172,1603173,2241.3841149187283,0.0,788.14,0.3786583486912593,823.6205133154438,0.04501803399832997,0.0,16.899099401167405,107.73883378847368,241484.1106133541,2241.3841149187283,788.14,Single
9,4,2025-03-06 02:31:56+00:00,23,20177,2064484,2241.3841149187283,0.2929,656.5,0.6154237808969767,1379.4010864457882,0.05057091242925008,45.782415899864645,73.51606693972826,108.03173347454721,242140.61131698394,2241.3841149187283,1313.0014072596955,Dual
