note_id,day,datetime,lock,due,duration_sec,price_in,in0,in1,note0,note1,premium_ratio,q_old,q_new,new_x,new_y,price,invest_usd,side
0,1,2025-02-01 03:43:54+00:00,5,20126,504966,3296.390634843652,0.0,527.54,0.1639514257993474,540.8803128090137,0.02528777497254002,0.0,9.184645677498338,100.08001782228473,329902.83348436526,3296.390634843652,527.54,Single
1,1,2025-02-01 07:57:37+00:00,3,20124,316943,3296.390634843652,0.0,111.98,0.03464560595230808,114.22483274270681,0.02004672926153609,0.0,1.9502230203979707,100.0970030665116,329958.82348436525,3296.390634843652,111.98,Single
2,2,2025-02-02 19:50:26+00:00,23,20145,2002174,3125.0386801320924,0.0,1446.24,0.45978852526785713,1518.962373548045,0.05028375203842019,0.0,25.162044456383228,103.07265537674631,322106.03491625737,3125.0386801320924,1446.24,Single
3,2,2025-02-02 10:07:43+00:00,19,20141,1691537,3125.0386801320924,0.118,368.75,0.24691742385955265,771.6265003595216,0.04626674566892699,0.0,13.192801067500113,103.19065464647446,322474.78719838517,3125.0386801320924,737.504564255587,Dual
4,2,2025-02-02 12:23:17+00:00,14,20136,1251403,3125.0386801320924,0.0,361.34,0.12016412208621215,375.72788780411946,0.03981814303459217,0.0,6.461996725603967,103.24846833087737,322655.45719838515,3125.0386801320924,361.34,Single
5,2,2025-02-02 12:15:18+00:00,25,20147,2202282,3125.0386801320924,0.0862,269.38,0.1815046433794453,567.2090311845044,0.052807901334683174,0.0,9.637542425372885,103.3346685973977,322924.83636549884,3125.0386801320924,538.7583342273863,Dual
6,3,2025-02-03 21:58:51+00:00,12,20135,1044069,2862.6976188716285,0.1859,0.0,0.19265893251392477,601.5256627005572,0.0363578941039525,0.0,10.38752052874952,108.16247540625704,309636.4607967532,2862.6976188716285,532.1754873482357,Single
7,3,2025-02-03 16:43:37+00:00,24,20147,2099783,2862.6976188716285,0.4055,1160.82,0.8526253811679436,2440.8086484590785,0.05132775306521497,9.637542425372885,53.02936239187511,108.56797472779692,310797.2827389794,2862.6976188716285,2321.6438844524455,Dual
8,4,2025-02-04 10:40:27+00:00,18,20142,1603173,2877.8138239498767,0.0,788.14,0.2873485764425518,823.6347466800713,0.04503609343526688,0.0,14.721110226681049,108.41977268570918,312011.9206244371,2877.8138239498767,788.14,Single
9,4,2025-02-04 02:31:56+00:00,23,20147,2064484,2877.8138239498767,0.2929,842.91,0.6154213616867419,1771.068102216127,0.050566696790678343,53.02936239187511,84.45472406045337,108.71267239572605,312854.83145895455,2877.8138239498767,1685.8216690349188,Dual
10,4,2025-02-04 08:28:32+00:00,3,20127,315088,2877.8138239498767,0.0,1557.48,0.5506249058172483,1588.537801252672,0.019941059437470765,0.0,28.996903768811535,108.98327363946153,313633.57145895454,2877.8138239498767,1557.48,Single
11,4,2025-02-04 13:16:59+00:00,27,20151,2371381,2877.8138239498767,0.2322,0.0,0.24492093795348174,704.0869959232007,0.054784401177785456,0.0,12.449801298138482,109.09937363946153,313967.68564391515,2877.8138239498767,668.2283699211613,Single
12,4,2025-02-04 23:35:39+00:00,9,20133,779061,2877.8138239498767,0.1127,0.0,0.11624085252903864,334.34686391614355,0.03141838978738801,0.0,6.044260168526307,109.15572363946153,314129.85045289475,2877.8138239498767,324.3296179591511,Single
13,4,2025-02-04 08:54:47+00:00,24,20148,2127913,2877.8138239498767,0.0,383.72,0.14017457730245175,403.6426797121708,0.05191983663132162,0.0,7.150732353269632,109.22239230245955,314321.71045289474,2877.8138239498767,383.72,Single
14,4,2025-02-04 23:18:06+00:00,30,20154,2594514,2877.8138239498767,0.1423,0.0,0.1504577640324431,432.7076033579746,0.057327927142959194,0.0,7.631235597098566,109.29354230245956,314526.4669064688,2877.8138239498767,409.5129071480675,Single
15,4,2025-02-04 02:02:11+00:00,25,20149,2239069,2877.8138239498767,0.0,1693.56,0.6181012390308406,1783.565975008597,0.05314602081331449,0.0,31.527229290339164,109.5877864932939,315373.24690646876,2877.8138239498767,1693.56,Single
16,4,2025-02-04 09:44:53+00:00,13,20137,1174507,2877.8138239498767,0.0,1619.84,0.583043690336605,1682.1974779359543,0.038496072412061925,0.0,30.156725320473925,109.86922235035304,316183.1669064688,2877.8138239498767,1619.84,Single
17,5,2025-02-05 11:27:25+00:00,23,20148,2032355,2740.3809762760143,0.0,1156.0,0.4423611164468611,1214.5075219357961,0.050612043197055506,7.150732353269632,29.212799516375526,112.81784483747523,309163.87577707623,2740.3809762760143,1156.0,Single
18,5,2025-02-05 23:24:19+00:00,30,20155,2594141,2740.3809762760143,0.0,821.48,0.3165200151070366,868.5374116174369,0.057283697250617084,0.0,15.682067479257967,112.9677291066903,309574.6157770762,2740.3809762760143,821.48,Single
19,6,2025-02-06 19:37:24+00:00,18,20144,1570956,2790.5521609256075,0.1308,0.0,0.1366352259995887,374.2159618583149,0.04461181956872082,0.0,6.845222327725423,112.01760879572484,312590.98028662923,2790.5521609256075,365.00422264906945,Single
20,6,2025-02-06 21:14:44+00:00,14,20140,1219516,2790.5521609256075,0.376,1049.25,0.7814749619926069,2180.7466438976894,0.03919424587353263,0.0,39.724954373819855,112.3936092235061,313640.2290928833,2790.5521609256075,2098.4976125080284,Dual
21,6,2025-02-06 18:33:04+00:00,5,20131,451616,2790.5521609256075,0.1874,522.95,0.3837551430289122,1070.8887436457226,0.023892610414858535,0.0,19.7990737157088,112.58100931758112,314163.17883036204,2790.5521609256075,1045.899474957459,Dual
22,6,2025-02-06 03:59:31+00:00,2,20128,244829,2790.5521609256075,0.0545,152.09,0.11092163787334426,309.53261626080564,0.017613287930853663,0.0,5.7580916985261865,112.63551019683895,314315.2663767472,2790.5521609256075,304.17509277044564,Dual
