day,price,reserve_eth,reserve_usdc,k
1,3296.390634843652,1000.0970030665117,3296710.394843652,57419.771732926216
2,3125.0386801320924,1028.0090446652619,3212568.0281045837,57467.808288588465
3,2862.6976188716285,1075.6114881329145,3079150.445909064,57549.71410275967
4,2877.8138239498767,1074.3729557414601,3091845.3441106635,57635.0155812215
5,2740.3809762760143,1101.6568734013326,3018959.5382527253,57670.24818601553
6,2790.5521609256075,1093.5559377417653,3051624.8851583116,57767.83285640379
7,2686.662316793651,1115.338559580361,2996538.078491466,57811.3696792627
8,2623.4507017824767,1129.5013045858855,2963190.990180065,57852.64115963527
9,2635.6011418023404,1128.0240044582745,2973021.354130676,57910.61606671481
10,2632.5358220552475,1129.9679510691524,2974681.108963915,57976.67046131633
11,2660.2967996436387,1124.9531064425837,2992709.148818375,58022.90456054722
12,2603.0333698049267,1137.0738333121249,2959841.1320434655,58013.42863516655
13,2736.2703136032396,1110.7672285985498,3039359.392937555,58103.53525912359
14,2675.7090007037627,1125.0444600484818,3010291.587943628,58195.46265944215
15,2724.6698335873957,1115.1252510497986,3038348.132206958,58207.72048194269
16,2692.8213863864253,1122.093989845373,3021598.6933912924,58228.152414266086
17,2659.9017474093457,1129.7173103382743,3004937.0478473613,58264.30639276464
18,2741.9050800956124,1112.860900370091,3051358.9561645295,58272.96178597411
19,2669.4945006896073,1129.9454728289704,3016383.225796054,58381.06345644534
20,2714.8018364720533,1120.9363247745514,3043119.9930661866,58404.99756763602
21,2741.5933625994785,1116.793403479652,3061793.382374695,58475.55602346771
22,2658.3470942919384,1134.4625878976833,3015795.324120719,58491.93934185909
23,2764.355233404291,1112.9997131616035,3076726.5818557534,58518.33732328811
24,2827.1844084879804,1102.346825065085,3116537.7565702363,58613.185386486744
25,2503.103420098605,1173.5113088073074,2937420.170599962,58711.97313085079
26,2495.315451693047,1174.3905063573889,2930474.776835214,58664.48463112126
27,2325.853934699374,1217.2410162734654,2831124.8071771036,58704.01381068655
28,2305.3229378029837,1223.1709078914212,2819803.9508153936,58729.057191433625
29,2235.204208608959,1242.2929372531946,2776778.401673526,58733.05880606113
30,2212.8243514969954,1250.2554322892288,2766595.666161008,58812.84945116703
31,2517.3382391622977,1175.9470236120162,2960256.409767617,59000.887401755426
32,2148.199533470228,1277.3565431492136,2744016.730068284,59203.78133754323
33,2171.496943535016,1269.4688457409663,2756647.7184394333,59156.389318836686
34,2241.3841149187283,1250.779627064835,2803477.5873670923,59215.98307223849
35,2202.3207363495417,1263.6737213493648,2783014.840507698,59302.80533056486
36,2140.7498089428914,1283.402276077109,2747443.1773089427,59380.76142279435
37,2199.9995000805707,1267.1791009342821,2787793.3885679683,59435.9615024111
38,2017.265460184326,1323.144536901244,2669133.7731224652,59427.68521628278
39,1879.1231054991026,1371.0151887932159,2576306.319251546,59431.93665595808
40,1921.3099227587034,1356.0794865621422,2605448.9735813714,59440.69234420211
41,1910.6551381032464,1359.3467288140346,2597242.8118723757,59418.46110641438
42,1862.7949366490388,1377.560811999563,2566113.3055189243,59455.67364712582
43,1910.6662703455045,1358.867661956551,2596342.60756364,59397.693631808455
44,1939.7856881721348,1349.4054659822054,2617557.410453533,59431.86247450289
45,1887.7643429692785,1369.3071457043875,2584929.204233781,59494.21846278235
46,1929.1833577618722,1355.4203530124742,2614854.3878033874,59533.40958984866
47,1932.7964059050657,1355.098980116676,2619130.438415132,59575.00302886176
48,2060.728601068271,1312.325873093206,2704347.4606050598,59573.35933440324
49,1980.831780524645,1336.1333115058462,2646655.326448416,59466.665836770335
50,1964.5293833168294,1342.7722326970963,2637915.506235389,59515.709640178065
51,1979.5449257665966,1335.7529165177102,2644182.907970566,59430.42176468179
52,2001.0470230951883,1328.703796541821,2658798.7766452855,59436.99209052676
53,2077.739325831977,1303.9765444386696,2709323.346342712,59438.15352894959
54,2068.598435049149,1306.1696454386981,2701940.4844631925,59407.008379380226
55,2009.8835432902426,1323.0040773370388,2659084.122745605,59312.55462694739
56,2003.3034241292064,1325.1307388660186,2654638.9465891602,59310.56962056766
57,1896.9173600459985,1361.210283030018,2582103.4165527686,59285.62829605983
58,1829.2745211803463,1385.6670026584213,2534765.3428033898,59265.003965281394
59,1805.3378779435934,1394.5579740545882,2517648.3335490273,59253.74721834933
60,1824.2071367609847,1388.4031004027975,2532734.844455861,59299.72099884378
61,1907.1671522994227,1356.312505732978,2586714.6591868587,59231.692876516325
62,1795.761850567479,1397.5966486868201,2509750.744192751,59225.157062882
63,1818.2844199542053,1388.4058372250836,2524516.7023998434,59203.494202489106
64,1814.4807753449506,1387.9644207249116,2518434.758268143,59122.73539335884
65,1809.935827172196,1387.896918880617,2512004.3579039313,59045.77130116558
66,1574.6321611455576,1489.8728081283734,2346001.6396951815,59120.5890600426
67,1555.909812570873,1497.280645996442,2329633.64927832,59060.26900824692
68,1471.3608854365523,1539.7791425031726,2265570.802490203,59063.344533971234
69,1662.5331604641576,1539.7791425031726,2265570.802490203,59063.344533971234
70,1523.928624242526,1512.221361937856,2304517.4196481165,59033.384376552465
71,1568.131690125936,1489.5868518719774,2335868.347615376,58987.10688202792
72,1645.8625733156498,1453.5707962936103,2392377.7712842803,58970.250652687784
73,1595.4227460001084,1476.179712485652,2355130.6904835096,58962.66738830667
74,1621.543195596693,1463.977744878829,2373903.150713257,58952.02609870114
75,1587.8222244021401,1478.4835498553364,2347569.038873273,58913.85411025013
76,1577.7073516760117,1482.3326337782187,2338687.0939411605,58878.79244299197
77,1583.4764497002345,1478.8594857216335,2341739.1680560065,58848.13660402096
78,1589.1516208270755,1475.3371634373457,2344534.444542878,58813.08355283748
79,1615.0502549158562,1462.7705178914168,2362447.8978039315,58785.36497260305
80,1585.4600253443446,1475.512760507883,2339366.498670732,58751.724402721266
81,1577.4465595922347,1475.512760507883,2339366.498670732,58751.724402721266
82,1759.7064599311093,1401.46552440421,2466167.936664828,58789.87447364403
83,1793.969849485534,1388.0683593406468,2490152.7856819727,58792.025749493594
84,1769.3925107354407,1397.5837826111538,2472874.278077484,58788.170472275764
85,1788.7981804331257,1397.5837826111538,2472874.278077484,58788.170472275764
86,1821.2695303291391,1377.0778054309685,2508029.8479239414,58768.63312120222
87,1793.6918440730135,1377.0778054309685,2508029.8479239414,58768.63312120222
88,1799.50191449199,1385.3863769507595,2493005.4376340136,58768.83332994053
89,1796.9720456768928,1386.3113093880365,2491162.669576032,58766.716620537394
90,1794.0495408617828,1386.3113093880365,2491162.669576032,58766.716620537394
