day,price,reserve_eth,reserve_usdc,k
1,2862.6976188716285,100.25229837990935,286992.0158585746,5363.917337777074
2,2877.8138239498767,100.11953175875684,288125.3725427391,5370.938222210009
3,2740.3809762760143,104.35453275572924,285971.1763519726,5462.8187311878055
4,2790.5521609256075,103.74538278951086,289506.9021293238,5480.420091709408
5,2686.662316793651,106.43845608100673,285964.1890105368,5517.026986769118
6,2623.4507017824767,108.8644570666097,285600.53629056556,5575.997428371446
7,2635.6011418023404,110.2180932467999,290490.9324085426,5658.388169395468
8,2632.5358220552475,112.35694823627774,295783.6910888083,5764.837627271076
9,2660.2967996436387,113.17876686020462,301089.11126581585,5837.541805255015
10,2603.0333698049267,115.07651404348654,299548.00613602076,5871.195818128551
11,2736.2703136032396,113.62187801956512,310900.1718007845,5943.488991880996
12,2675.7090007037627,116.63937322010506,312093.0207614805,6033.434704046139
13,2724.6698335873957,115.7078965006019,315265.8151030425,6039.763596708131
14,2692.8213863864253,117.31863385021795,315918.1262535053,6087.945711040951
15,2659.9017474093457,119.89559212949939,318910.4950119336,6183.523480651427
16,2741.9050800956124,118.48778954073464,324882.27207104,6204.400235209611
17,2669.4945006896073,120.09982565577154,320605.82412186277,6205.215836798964
18,2714.8018364720533,120.33568059490484,326687.5266721621,6269.941456182885
19,2741.5933625994785,120.91831771179822,331508.85725536104,6331.310553580428
20,2658.3470942919384,123.28390808690985,327731.4188357911,6356.414879233751
21,2764.355233404291,121.30693875094545,335335.47098442994,6377.971420422617
22,2827.1844084879804,121.23883286030657,342764.5379659389,6446.423235321481
23,2503.103420098605,129.48248997587774,324108.06350150285,6478.141638111542
24,2495.315451693047,130.49000537662386,325613.7267077983,6518.384535205263
25,2325.853934699374,134.60266328923774,313066.1340322886,6491.497163706653
26,2305.3229378029837,134.67836185460268,310477.11680914595,6466.417051597887
27,2235.204208608959,135.413752118154,302677.3886380282,6402.084104164839
28,2212.8243514969954,136.7014381003915,302496.27111320547,6430.526827654256
29,2517.3382391622977,129.69161451153428,326477.66050858126,6507.028115300139
30,2148.199533470228,141.63189644045133,304253.57385788107,6564.450522646707
31,2171.496943535016,141.87044042717852,308071.2277655847,6611.066537711228
32,2241.3841149187283,139.76327599638844,313263.1866673071,6616.84888883606
33,2202.3207363495417,140.73487168204224,309943.3262328536,6604.531341895957
34,2140.7498089428914,142.08970709694344,304178.51332053303,6574.240325915858
35,2199.9995000805707,140.21132659125965,308464.84840640484,6576.493412285443
36,2017.265460184326,145.2167806507441,292940.79584590974,6522.26335668914
37,1879.1231054991026,149.82020309761518,281530.6053112968,6494.534045328658
38,1921.3099227587034,148.78647747361853,285864.93554237764,6521.720385954413
39,1910.6551381032464,149.18713998583175,285045.17555285775,6521.125248566398
40,1862.7949366490388,151.12876731195712,281521.9025307245,6522.733943737498
41,1910.6662703455045,148.56081894528438,283850.1458536603,6493.767021210277
42,1939.7856881721348,145.93579013348304,283084.15709302266,6427.449738398683
43,1887.7643429692785,147.43537741897478,278323.24838375853,6405.832746016283
44,1929.1833577618722,145.1209316475036,279964.88619726215,6374.06974495369
45,1932.7964059050657,145.3891803522891,281007.6852423877,6391.8289268475255
46,2060.728601068271,141.8057044782039,292223.07101286977,6437.305216452316
47,1980.831780524645,145.55689243403248,288323.7184077388,6478.233128442933
48,1964.5293833168294,147.03436094402682,288853.32243175304,6517.005728884373
49,1979.5449257665966,146.74994220908516,290498.1034565357,6529.209744991767
50,2001.0470230951883,145.41808986781717,290988.4358341842,6504.996734252136
51,2077.739325831977,142.8715380087116,296849.8130627982,6512.40273246983
52,2068.598435049149,143.72318591556075,297305.5574652069,6536.795997222291
53,2009.8835432902426,145.83784329691787,293117.0812314164,6538.162047569427
54,2003.3034241292064,146.19127225757492,292865.47629140486,6543.269563403384
55,1896.9173600459985,150.49639475321766,285479.2238317141,6554.662002240834
56,1829.2745211803463,153.65445805137477,281076.18517915416,6571.8040829631245
57,1805.3378779435934,153.82295460283623,277702.40644169814,6535.824711479012
58,1824.2071367609847,152.09894988012567,277459.9898651766,6496.25839173933
59,1907.1671522994227,147.50540045079737,281317.45452653326,6441.726770341573
60,1795.761850567479,151.44626822351162,271961.4308865921,6417.752239569618
61,1818.2844199542053,149.476363388173,271790.54270012816,6373.873384851092
62,1814.4807753449506,148.1697589053702,268851.1790212906,6311.546116207118
63,1809.935827172196,147.1075566405484,266255.2372114917,6258.446883127807
64,1574.6321611455576,156.8968207407019,247054.7799197986,6225.922382925297
65,1555.909812570873,156.6602470877761,243749.21568364836,6179.46699614554
66,1471.3608854365523,159.88490866081597,235248.40077512042,6132.916848493313
67,1662.5331604641576,149.7485022501106,248961.85072065034,6105.871294322622
68,1523.928624242526,155.27943800277106,236634.78032871548,6061.725472285274
69,1568.131690125936,151.68467813489468,237861.55068988103,6006.659034526726
70,1645.8625733156498,147.30892607703765,242450.24814551804,5976.209976350191
71,1595.4227460001084,149.07218510191586,237833.15490753506,5954.352029545171
