day,price,reserve_eth,reserve_usdc,k
1,3348.967247123586,1000.0954801813231,3349287.007123586,57875.78766335996
2,3448.140436960939,986.1797391625414,3400486.2367179506,57909.331112976266
3,3604.2913795931763,965.3157520269995,3479279.2436164184,57953.45597601158
4,3660.37804173532,959.2820832323509,3511335.0732938116,58037.58113529636
5,3635.8549961807084,962.773390377033,3500504.4415921746,58053.35932796276
6,3687.1447140588307,957.7622041359631,3531407.8483052514,58157.10588136136
7,3380.0211263090155,1001.8687660711969,3386337.59510979,58246.59533323085
8,3325.1300293537356,1010.8133816865931,3361085.9295186903,58287.482657565626
9,3219.09284475812,1028.5043088836399,3310850.86153022,58354.3004169782
10,3269.1759954060667,1021.8130405259697,3340486.6638803864,58423.90636422791
11,3283.591322828503,1020.4510355018723,3350744.1655453085,58474.52738956141
12,3264.070968533687,1023.2884483822273,3340086.1168003106,58462.565286887715
13,3134.5520394596483,1045.7020368826616,3277807.4523776546,58545.79343949897
14,3224.8006483414138,1032.7306472246792,3330350.460732193,58646.01424476319
15,3447.0340476747956,999.7053279149166,3446018.302964614,58694.14670617542
16,3309.4466139900196,1020.9096185134382,3378645.8801791403,58730.67406922626
17,3477.284285084809,996.9044446595424,3466520.1591458255,58785.96222019656
18,3309.0995676199964,1022.3295416192136,3382990.244137289,58809.27533638844
19,3208.1365439891497,1040.3908363496698,3337715.8621248105,58928.168114184504
20,3263.069869880814,1032.0478408217778,3367644.213661093,58953.96457715872
21,3326.0285404709143,1023.6342680786873,3404636.7906337697,59034.760008440535
22,3237.2996671291435,1037.8359417628062,3359785.948803394,59050.03483739712
23,3332.580893146162,1023.3082841024676,3410257.6353980675,59074.062745222924
24,3311.8499838687,1028.107683777156,3404938.41593266,59166.23486591305
25,3320.1314101789453,1026.6796540684031,3408711.3676641593,59157.87866186948
26,3232.2767744705584,1039.685766308879,3360552.1551878145,59109.37525204777
27,3173.5346079397173,1049.3849523095923,3330259.463205661,59116.19209636765
28,3076.4937692857234,1066.2619547131078,3280348.2601012923,59141.445264343565
29,3114.4358854363104,1059.7292742697307,3300458.880633027,59140.45057598331
30,3248.249484352305,1039.4536523553775,3376404.790271475,59242.01457646319
31,3296.390634843652,1033.208983628135,3405860.417468112,59320.86968606852
32,3125.0386801320924,1061.8789900620945,3318412.9175636475,59361.20751392693
33,2862.6976188716285,1109.6548670570394,3176606.3456935007,59371.17728513617
34,2877.8138239498767,1107.7474386630058,3187890.892429466,59425.398364889945
35,2740.3809762760143,1137.1348659258713,3116182.7540434343,59527.47313820479
36,2790.5521609256075,1128.3321336758252,3148669.6738708746,59604.90895353409
