note_id,day,datetime,lock,due,duration_sec,price_in,in0,in1,note0,note1,premium_ratio,q_old,q_new,new_x,new_y,price,invest_usd,side
0,1,2025-01-02 03:43:54+00:00,5,20096,504966,3348.967247123586,0.0,527.54,0.16149675164459898,540.8899289340825,0.02530600321128739,0.0,9.115549275811645,1000.078761594407,3349231.017123586,3348.967247123586,527.54,Single
1,1,2025-01-02 07:57:37+00:00,3,20094,316943,3348.967247123586,0.0,111.98,0.03410701225820853,114.22517644344227,0.020049798566192753,0.0,1.935001843055943,1000.0954801813231,3349287.007123586,3348.967247123586,111.98,Single
2,2,2025-01-03 19:50:26+00:00,23,20115,2002174,3448.140436960939,0.0,1446.24,0.4535063734016097,1519.105881408258,0.050382980285608246,0.0,24.988376675362815,985.9231428449642,3399601.4565793364,3448.140436960939,1446.24,Single
3,2,2025-01-03 10:07:43+00:00,19,20111,1691537,3448.140436960939,0.118,406.88,0.2469300100180373,851.4493526435866,0.046314336671115126,0.0,13.858115311988513,986.0411427620845,3400008.3368651173,3448.140436960939,813.7605715613909,Dual
4,2,2025-01-03 12:23:17+00:00,14,20106,1251403,3448.140436960939,0.0,361.34,0.108961702730023,375.73521779586684,0.03983842861533964,0.0,6.153355820599245,986.0935391198612,3400189.0068651177,3448.140436960939,361.34,Single
5,2,2025-01-03 12:15:18+00:00,25,20117,2202282,3448.140436960939,0.0862,297.23,0.18151101409445858,625.8754674538735,0.05284758830313374,0.0,10.123482799899648,986.1797391625414,3400486.2367179506,3448.140436960939,594.459705666033,Dual
6,3,2025-01-04 21:58:51+00:00,12,20105,1044069,3604.2913795931763,0.1859,0.0,0.19266440694325035,664.2713245217097,0.03638734235207295,0.0,10.915695124713238,964.9102520484219,3477817.703539206,3604.2913795931763,670.0377674663715,Single
7,3,2025-01-04 16:43:37+00:00,24,20117,2099783,3604.2913795931763,0.4055,1461.54,0.8528288302560625,3073.8436011588187,0.05157691160373946,10.123482799899648,58.81247416343831,965.3157520269995,3479279.2436164184,3604.2913795931763,2923.080154425033,Dual
8,4,2025-01-05 10:40:27+00:00,18,20112,1603173,3660.37804173532,0.0,788.14,0.22850065015331233,823.6762015550037,0.045088691799684846,0.0,13.127101115809637,958.027816486449,3506743.982838632,3660.37804173532,788.14,Single
9,4,2025-01-05 02:31:56+00:00,23,20117,2064484,3660.37804173532,0.2929,1072.12,0.6157356134626397,2253.825119035019,0.051104423462579415,58.81247416343831,94.25391589493665,958.320715840556,3507816.105202845,3660.37804173532,2144.2447284242753,Dual
10,4,2025-01-05 08:28:32+00:00,3,20097,315088,3660.37804173532,0.0,1557.48,0.4339050905515292,1588.609241250426,0.019986928403848574,0.0,25.740163952301373,958.5334643575455,3508594.8452028446,3660.37804173532,1557.48,Single
11,4,2025-01-05 13:16:59+00:00,27,20121,2371381,3660.37804173532,0.2322,0.0,0.24493317976137613,896.4394571608391,0.05483712214201618,0.0,14.047495028426056,958.6495643575455,3509019.8150934903,3660.37804173532,849.9397812909413,Single
12,4,2025-01-05 23:35:39+00:00,9,20103,779061,3660.37804173532,0.1127,0.0,0.11624250732743295,425.4665125273755,0.031433073002954295,0.0,6.81826887257921,958.7059143575456,3509226.077396142,3660.37804173532,412.5246053035705,Single
13,4,2025-01-05 08:54:47+00:00,24,20118,2127913,3660.37804173532,0.0,383.72,0.11027055655360207,403.65399133253277,0.05194931547100166,0.0,6.342195037694182,958.7583297085864,3509417.937396142,3660.37804173532,383.72,Single
14,4,2025-01-05 23:18:06+00:00,30,20124,2594514,3660.37804173532,0.1423,0.0,0.15046257716576955,550.7090458873599,0.05736175098924468,0.0,8.608981153156492,958.8294797085864,3509678.3732938115,3660.37804173532,520.8717953389361,Single
15,4,2025-01-05 02:02:11+00:00,25,20119,2239069,3660.37804173532,0.0,1693.56,0.487206727099382,1783.791051122968,0.05327892198857317,0.0,27.988861640405958,959.0608164695288,3510525.1532938117,3660.37804173532,1693.56,Single
16,4,2025-01-05 09:44:53+00:00,13,20107,1174507,3660.37804173532,0.0,1619.84,0.45950407294148354,1682.3466442107695,0.03858815945449529,0.0,26.770658785753767,959.2820832323509,3511335.0732938116,3660.37804173532,1619.84,Single
17,5,2025-01-06 11:27:25+00:00,23,20118,2032355,3635.8549961807084,0.0,1156.0,0.33402762249576434,1214.6765816241941,0.050758288602243996,6.342195037694182,25.512044214774505,962.6604210753333,3500093.701592175,3635.8549961807084,1156.0,Single
18,5,2025-01-06 23:24:19+00:00,30,20125,2594141,3635.8549961807084,0.0,821.48,0.23886931360006783,868.5961030840596,0.057355143258581494,0.0,13.622858226823155,962.773390377033,3500504.4415921746,3635.8549961807084,821.48,Single
19,6,2025-01-07 19:37:24+00:00,18,20114,1570956,3687.1447140588307,0.1308,0.0,0.13663830601892188,496.76332366580874,0.04463536711713971,0.0,7.886717257759301,956.1425010525704,3525435.768642975,3687.1447140588307,482.27852859889504,Single
20,6,2025-01-07 21:14:44+00:00,14,20110,1219516,3687.1447140588307,0.376,1386.37,0.781565270277572,2881.74425499568,0.03931417426433997,0.0,45.66290047734219,956.5185015390599,3526822.136849218,3687.1447140588307,2772.7364124861206,Dual
21,6,2025-01-07 18:33:04+00:00,5,20101,451616,3687.1447140588307,0.1874,690.97,0.3837683631860416,1415.0094917450679,0.02392907820097361,0.0,22.758539320449927,956.7059014143815,3527513.1073089256,3687.1447140588307,1381.940919414625,Dual
