scenario,horizon,init_eth,k_init,k_final,k_change_pct,pnl_total_usd,pnl_avg_usd,scale
60d-100ETH-1x,60,100,5356.3946741756245,5620.520484961531,4.931037140696824,-14316.417074030218,-44.323272675016156,1
60d-100ETH-5x,60,100,5363.917337777074,5628.613728194712,4.934758941071494,-14579.709452353003,-8.317004821650315,5
60d-100ETH-10x,60,100,5365.835403143075,5597.881425719717,4.324508769700975,-12078.358394600758,-3.4519458115463726,10
60d-100ETH-50x,60,100,5371.596730289886,5597.727119485722,4.209742476025979,-12194.844797089592,-0.7174704240212739,50
